Nr.,Name,Adresse,Stadt/Region,Kapazität,Kosten,Ausstattung,Verfügbarkeit,Kontakt (Name),Kontakt (Email/Tel),Website,Stimmung,KINN Events,Notizen,Status,Lat,Lng
29,Innovationsraum Kufstein,Unterer Stadtplatz 11 (1. Stock im KISS),Kufstein,30 Arbeitsplätze (600m²),Kostenlos (inkl. Kaffee),"30 Arbeitsplätze, Curved Monitore, höhenverstellbare Tische, Telefonboxen, 2 Tagungsräume, 86"" + 75"" Screens, Küche, Lounge, 24/7, WLAN, Drucker",Ab März/April 2026,"Carina Berger (Community)
Thomas Ebner (Leitung)","innovationsraum@kufstein.biz
+43 664 88239935",innovationsraum-kufstein.at,"Modern, zentral am Stadtplatz, 100m vom Bahnhof, Startup-freundlich",,"Genossenschaft (Stadt, TVB, WKO, FH, Sparkasse, Stadtwerke). InnCubator-Kooperation besteht.",Bestätigt,47.5831925,12.1687245
28,Cloudflight Innsbruck,Rennweg 1 (Eingang: Domplatz 9),Innsbruck,20-40,Kostenlos,"Büroräume, Tech-Infrastruktur, Meeting-Räume",Bald - Termin in Abstimmung,Sherin + Andreas Benedikter,,cloudflight.io,"Tech-Company, Developer-Atmosphäre, Altstadt-Lage",TechTalk,KINN Meetup Donnerstag Morgen angeboten (neutral). Agentic AI Hackathon geplant.,Bestätigt,47.2691811,11.3947089
15,WEI SRAUM (Designforum Tirol),Andreas-Hofer-Straße 27,Innsbruck,24,Kostenlos,"Coworking-Space, Veranstaltungsraum für Externe, Kleinbüros, WLAN, Küche",Ab Herbst 2026,,info@weissraum.at,weissraum.at,"Design-Fokus, kreativ, Stöcklgebäude im ruhigen Innenhof, Wilten-Flair",,Designforum Tirol seit 2006. Coworking für Gestalter & Kreative. Veranstaltungsraum für Externe.,Bestätigt,47.2594497,11.3920127
13,IKB Rechenzentrum,Innsbruck,Innsbruck,24,Kostenlos,"Rechenzentrum-Infrastruktur, Veranstaltungsraum",Termin offen,Thomas Stotter,,,"Technisch, Data Center Vibe, einzigartig",,Thomas Stotter hat Raum für 70-80 Personen angeboten. Ideale Alternative für Großevents.,Offen,,
32,PumpTrack Innsbruck (Glashaus),"DEZ-Areal, Amraser-See-Straße 56a",Innsbruck,100+,Verhandeln,"Biertische, Bänke, Bar, Glashaus (wetterfest), Pumptrack, gepflasterte Freifläche, DEZ-Parkplätze",Termin offen,Thomas Baldermann (Vermittler zum Obmann),,pumptrack-innsbruck.at,"Urban-sportlich, Glashaus-Vibe, unkonventionell, DEZ-Areal",,Angebot via LinkedIn (13.2.2026). Baldermann stellt Kontakt zum Obmann (RV Innsbrucker Schwalben) her. Vereinsfläche - Kooperation nötig. Potenzial für Großevents.,Offen,47.2625643,11.4309327
12,Villa Blanka,Weiherburggasse 8,Innsbruck,300,,,24.2.2026 (AWS KI-Pitching),,,,"Exklusiv, gehoben",,AWS Event-Location. Einmalige Nutzung für spezielles Format.,Offen,47.2790952,11.3976352
14,Kramsach (Alternativen),Diverse Locations,Kramsach (Unterland),24,,"Hotel/Restaurant, Industrie-Location",April 2026 geplant,Martin Knapp (Vermittler),,,"Familienfreundlich, Unterland, Natur & Seen",,Martin Knapp checkt zwei Locations: Hotel Gappen und aeoon Technologies.,Offen,,
17,EGGER Group,St. Johann in Tirol,St. Johann,,,"Industriestandort, 30 Data Scientists im Haus",Termin offen,Reinhard Palaver (Vermittler),,egger.com,"Industrie, Corporate, Data-driven",,30 Data Scientists. Potenzial für KINN:INDUSTRIE Format.,Offen,47.4981426,12.4201561
18,Campus V,Hintere Achmühlerstraße 1,Dornbirn (Vorarlberg),50+,,"Coworking, Event-Räume, FH Dornbirn Nähe",Initiatorentreffen April 2026,Stefan Hechenblaickner (PRISMA) + Saša Filipović + Manfred Vogt,stefan.hechenblaickner@prisma-zentrum.com,campusv.at,"Innovation, Vorarlberg-Hub, akademisch-nah",,PRISMA = Eigentümer/Mitgesellschafter Startup Vorarlberg. Postgarage als Top-Kandidat für KINN Vorarlberg Launch. Kontakt Claudio Witt ergänzen um Stefan H. (PRISMA-Kanal auf Gesellschafter-Ebene). Saša Filipović (Stv. GF Startup Vorarlberg) als operativer Kontakt.,Offen,47.4046707,9.7435242
19,Plattform V,,Dornbirn (Vorarlberg),,,"Vereinsräumlichkeiten, neutral",Termin offen,Jakob Sieber (Community Manager),,,"Neutral (Verein, 50 Mitgliedsunternehmen)",,Jakob Sieber hat Räumlichkeiten angeboten. Manfred Vogt hat vorvernetzt. Hubert Rhomberg = Obmann (auch VUTURE.TECH Initiator). Kontakt ergänzen.,Offen,47.4221162,9.7391694
20,BTV Gravitat / Habitat,,Dornbirn (Vorarlberg),bis 100,,,Termin offen,Hansjörg Rogen,LinkedIn,,,,"BTV = VUTURE.TECH-Mitglied. Dezember-Gespräch geführt, Follow-up offen. Erst nach Klärung VUTURE.TECH/BTV-Verbindung aktivieren. Kapazität bis 100 Personen.",Offen,47.4136351,9.7423762
21,Tirolit / DCOM,,Tirol,,,Industriestandort,Termin offen,Frau Durst,,,"Industrie, Corporate",,Kontakt über Frau Durst. Industrie-Location.,Offen,,
22,Liebherr,,Tirol,,,Industriestandort,Termin offen,,,liebherr.com,"Industrie, Maschinenbau, Corporate",,Potenzial für KINN:INDUSTRIE Format.,Offen,,
23,Plansee Group,,Reutte,,,Industriestandort,Termin offen,,,plansee.com,"Hightech-Industrie, Außerfern",,Außerfern-Expansion. Großer Arbeitgeber.,Offen,47.4946631,10.7368592
24,Adler-Lacke,,Schwaz,,,Industriestandort,Termin offen,,,adler-lacke.com,"Industrie, Familienunternehmen",,Traditioneller Tiroler Betrieb.,Offen,47.3603794,11.7245581
25,TechnoAlpin,,Bozen/Tirol,,,,Termin offen,,,technoalpin.com,"Technologie, Alpin-Innovation",,Grenzüberschreitend Tirol-Südtirol.,Offen,46.4823351,11.32692
26,IDM / Loacker,,Osttirol,,,,Termin offen,,,,"Osttirol, ländlich, regional",,Osttirol-Expansion. IDM Kontakte vorhanden.,Offen,,
30,Hotel Landgasthof Gappen,Achenrain 58,Kramsach (Unterland),20-40 (Restaurant/Biergarten),,"Restaurant, Biergarten, Panoramaterrasse, Lounge mit Kamin, WLAN, Parkplätze gratis",Termin offen,"Hannes Gang (Inhaber)
Martin Knapp (KINN)",+43 5337 62286,gappen.at,"Tiroler Tradition, familiengeführt seit 5 Generationen, Bergblick",,Martin Knapp hat guten Kontakt. Restaurant + Biergarten + Lounge ideal für KINN-Format.,Offen,47.4490467,11.8755506
31,aeoon Technologies,Amerling 133,Kramsach (Unterland),,,"Industriestandort, Showroom, Büroräume, Parkplätze, 1.5km zum Bahnhof Brixlegg",Termin offen,Martin Knapp (KINN),"office@aeoon.com
+43 5337 63207",aeoon.com,"Industrie, Hightech-Textildruck, innovativ",,Digitaler Textildruck-Hersteller. Direkt an A12 Ausfahrt Kramsach. Potenzial KINN:INDUSTRIE.,Offen,47.4403721,11.8766551
33,Bäcker Ruetz – Backhaus Kematen,Sportplatzweg 2,Kematen in Tirol (Innsbruck Land),"~20 (pro Raum: Mehlbox, Kornkammer, Brotraum)",Verhandeln,"Backtheater (einsehbare Bäckerei), 3 buchbare Räume (~20 Pers.), Kaffee & Frühstück, WLAN, Gastgarten, barrierefrei, Tiefgarage",Termin offen,Youssef Sayed,+43 5232 2208-48,ruetz.at,"Bäckerei-Flair, Tirolische Backtradition, einzigartig, gemütlich",,"LinkedIn-Tipp via Murat Günal (empfohlen durch Thomas Seiger). Backtheater buchbar, super Kaffee, mega Frühstück. 3 Räume à ~20 Pers.: Mehlbox, Kornkammer, Brotraum.",Offen,47.2607885,11.2698419
34,CCI - Competence Center Innsbruck,Grabenweg 3,Innsbruck,12-18 (2-3 Tische),Kostenlos (Kaffee in Klärung mit Café-Betreiber),"Seminarraum oder Foyer, Stühle vorhanden, Stehtische müssten organisiert werden",Ab ca. Juni 2026 (Thomas meldet sich mit Terminvorschlägen),Stefan Hechenblaickner (GF PRISMA Tirol),stefan.hechenblaickner@prisma-zentrum.com,,"Corporate-IT-Umfeld, PRISMA-Gebäude, NTS/CANCOM/Txture im Haus",,Erste KINN-Venue in Corporate-IT-Umfeld. PRISMA = Eigentümer. Thomas hat besichtigt + Fotos. Stefan bewirbt KINN intern bei CCI-Mietern. Vermittelt über Thomas Bartl (FUSIONPEAK).,Bestätigt,47.2656775,11.4301218
35,Schleifhalle Wattens (Werkstätte Wattens),Weisstraße 9,Wattens,120 (20 Tische),300€,,Termin offen,,,,,,"Aus Meeting-Kontext erwähnt. Details (Kapazität, Adresse, Kontakt, Kosten) noch offen - Thomas bitte ergänzen.",Offen,47.2872646,11.5929236
36,Pemba / Villa Berg,oberhalb Innsbruck (10 Min Bus ab Museumsstraße),Innsbruck,300-500 (Outdoor/Event),Verhandeln,"Ehemaliger Bauernhof, Outdoor-Gelände, Permakultur, eigene Bushaltestelle + Nachtbus, Nordkette-Panorama",Ab Sommer 2026 (Pilotversuch KINN:RAUS oder Abendformat),Sebastian Sobeslavsky,LinkedIn,,"Open-Air, Lagerfeuer-Atmosphäre, Kulturplattform, Gemeinschaftsprojekt",,Venue für Sommer-Formate / KINN:RAUS. Widmung noch ungeklärt - Langfristprojekt (5-10 Jahre). Helping Hands Wochenende April als nächster Kontaktpunkt. Kein Standard-KINN-Format sondern Spezial-Events.,Offen,,
37,CANCOM Austria AG (Büro/Event),Valiergasse 56,Innsbruck,20-40 (geschätzt),Kostenlos (firmenintern),"Büroräume, IT-Infrastruktur",Termin offen,Tanja Rechenmacher,tanja.rechenmacher@cancom.com / +43 664 6287363,,"Corporate, IT-Dienstleister",,Tanja Rechenmacher (Key Account Manager) + Daniel Rechenmacher bereits bei KINN. Women4Cyber Event-Serie ab 12. März. Auch Standort Grabenweg 3a (CCI-Gebäude).,Offen,47.2660937,11.4385226
38,Muut Offices / PIZ,,Vorarlberg (Dornbirn Umgebung),,,,Termin offen,Thomas Gabriel,LinkedIn,,Co-Working,,Aus Vorarlberg-Strategie. Thomas Gabriel als Kontakt. Noch zu evaluieren. Venue-Potenzial für KINN Vorarlberg.,Offen,,
39,BTV Gravitat / Habitat,,Vorarlberg,,,,Bis 100 Personen,Hansjörg Rogen,LinkedIn,,"Innovation, BTV-Nähe",,"BTV = VUTURE.TECH-Mitglied. Dezember-Gespräch geführt, Follow-up offen. Erst nach Klärung VUTURE.TECH/BTV-Verbindung aktivieren.",Offen,,
40,FH Vorarlberg,Hochschulstraße 1,Dornbirn (Vorarlberg),,,"Seminarräume, akademische Infrastruktur",Termin offen,Thomas Metzler / Florian Buehler,LinkedIn,fhv.at,Akademisch,,"Zugang via Thomas Metzler (Prof. Entrepreneurship) und Florian Buehler (Senior Lecturer, organisiert eigenen KI-Austausch). Partner bei Startup Vorarlberg.",Offen,47.4068361,9.7443998
41,Digital Campus Vorarlberg,,Vorarlberg,,,,Termin offen,GF (via Manfred Vogt persönlich),,,Bildung,,Bildungskanal. Manfred Vogt kennt GF persönlich und stellt Kontakt her. Noch zu evaluieren.,Offen,,
42,SoftDeCC Büro Kramsach,Kramsach (Adresse offen),Kramsach (Unterland),36,Kostenlos (inkl. Kaffee & Frühstück),Büroräume (Details offen),Ab Mitte März 2026 (bezugsfertig),Martin Knapp,,softdecc.com,"Büro-Atmosphäre, Unterland, Schwaz/Zillertal-Einzugsgebiet",,"Bei KINN#16 Kitzbühel (12.3.) von Martin Knapp eingebracht. Doppelt so groß wie START.N. Bezugsfertig Mitte März. Einzugsgebiet Schwaz + Zillertal – komplementär zu Kitzbühel, nicht konkurrierend. Jenny Koller: ""Kooperationsprojekte. Nicht kannibalisieren."" Wahrscheinlich Martin Knapps persönliches Satellite-Office (kein offizieller SoftDeCC-Firmenstandort). Adresse direkt bei Martin Knapp anfragen.",Offen,,
43,Mission Solar (Büro),"Franz-Fischer-Straße, Innsbruck",Innsbruck,8,Kostenlos (offen),Büroräume,Termin offen,via Libra / Mission Solar,,,"Klein, kompakt, TechTalk-geeignet",TechTalk,Kleine Location speziell für TechTalks bis 8 Personen. Mission Solar = Libra-Kunde.,Offen,47.2582828,11.3885331
